,Players,Position,Clubs,league,age,nationality,overall,Continent,Homegrown,Starts/Apps,Subbed Off/Apps,Overall Apps,Average Form,Goals/Apps,Assists/Apps,Clean Sheets/Apps
79,Aritz Aduriz,Forward,ATBI,Spanish Primera Division,36,Spain,84,Europe,True,0.8902439024390244,0.2682926829268293,164.0,4.591463414634147,0.5121951219512195,0.16463414634146342,0.0
80,Alexander Meier,Midfielder,EF,German Bundesliga,34,Germany,77,Europe,True,0.8991596638655462,0.15126050420168066,119.0,4.563025210084033,0.5042016806722689,0.08403361344537816,0.0
81,Alexis Sanchez,Forward,BARC,English Premier League,28,Chile,89,South America,False,0.7142857142857143,0.3968253968253968,63.0,4.555555555555555,0.42857142857142855,0.2698412698412698,0.0
82,Daniel Sturridge,Forward,CHEL,English Premier League,27,England,82,Europe,True,0.5714285714285714,0.2857142857142857,21.0,4.523809523809524,0.5238095238095238,0.14285714285714285,0.0
83,Mattia Caldara,Defender,ATAL,Italian Serie A,23,Italy,76,Europe,True,0.967741935483871,0.03225806451612903,31.0,4.516129032258065,0.22580645161290322,0.0,0.4838709677419355
84,Hiroshi Kiyotake,Midfielder,SEVI,Japanese J1 League,27,Japan,76,Asia,False,0.75,0.25,4.0,4.5,0.25,0.5,0.0
85,Tom Starke,Goalkeeper,BM1,German Bundesliga,36,Germany,72,Europe,True,1.0,0.0,8.0,4.5,0.0,0.0,0.625
86,Stefan Thesker,Defender,H96,Holland Eredivisie,26,Germany,70,Europe,False,0.5,0.0,2.0,4.5,0.0,0.0,0.5
87,Aleix Vidal,Defender,BARC,Spanish Primera Division,27,Spain,76,Europe,True,0.7142857142857143,0.14285714285714285,14.0,4.5,0.14285714285714285,0.21428571428571427,0.2857142857142857
88,Salomon Kalou,Forward,LILL,German Bundesliga,31,Ivory Coast,80,Africa,False,0.9242424242424242,0.42424242424242425,66.0,4.484848484848484,0.45454545454545453,0.13636363636363635,0.0
89,Stevan Jovetic,Forward,FIOR,French Ligue 1,27,Montenegro,81,Europe,False,1.0,0.3225806451612903,31.0,4.483870967741935,0.41935483870967744,0.16129032258064516,0.0
90,Raffael,Forward,MON1,German Bundesliga,32,Brazil,82,South America,False,0.9482758620689655,0.45689655172413796,116.0,4.482758620689655,0.41379310344827586,0.1724137931034483,0.0
91,James Rodriguez,Midfielder,MADR,German Bundesliga,25,Colombia,86,South America,False,0.7692307692307693,0.4230769230769231,78.0,4.4743589743589745,0.358974358974359,0.3333333333333333,0.0
92,Vincent Aboubakar,Forward,LORI,Portuguese Primeira Liga,25,Cameroon,78,Africa,False,0.9210526315789473,0.13157894736842105,38.0,4.473684210526316,0.4473684210526316,0.13157894736842105,0.0
93,Mame Biram Diouf,Forward,H96,English Premier League,29,Senegal,77,Africa,False,0.8936170212765957,0.3617021276595745,47.0,4.468085106382978,0.425531914893617,0.2127659574468085,0.0
94,Angel Di Maria,Midfielder,PSG,French Ligue 1,29,Argentina,85,South America,False,0.8620689655172413,0.46551724137931033,58.0,4.4655172413793105,0.27586206896551724,0.43103448275862066,0.0
95,Carlos Bacca,Forward,SEVI,Spanish Primera Division,30,Colombia,82,South America,False,0.8055555555555556,0.5833333333333334,72.0,4.444444444444445,0.4722222222222222,0.1388888888888889,0.0
96,Jose Angel,Defender,VIAL,Spanish Primera Division,27,Spain,74,Europe,True,1.0,0.0,7.0,4.428571428571429,0.0,0.14285714285714285,0.5714285714285714
97,Dele Alli,Midfielder,SPURS,English Premier League,21,England,84,Europe,True,0.9,0.42857142857142855,70.0,4.428571428571429,0.4,0.22857142857142856,0.0
98,Erik Lamela,Midfielder,ROMA,English Premier League,25,Argentina,80,South America,False,0.9090909090909091,0.18181818181818182,33.0,4.424242424242424,0.45454545454545453,0.15151515151515152,0.0
99,Dimitri Payet,Midfielder,LILL,French Ligue 1,30,France,83,Europe,True,0.9736842105263158,0.3157894736842105,38.0,4.421052631578948,0.3157894736842105,0.3157894736842105,0.0
100,Pablo Piatti,Forward,RCDE,Spanish Primera Division,28,Argentina,79,South America,False,1.0,0.6,30.0,4.4,0.3333333333333333,0.3333333333333333,0.0
101,Max Kruse,Forward,MON1,German Bundesliga,29,Germany,82,Europe,True,0.9545454545454546,0.24242424242424243,66.0,4.393939393939394,0.3484848484848485,0.25757575757575757,0.0
102,Willian Jose,Forward,RESO,Spanish Primera Division,25,Brazil,82,South America,False,0.9642857142857143,0.6071428571428571,28.0,4.392857142857143,0.42857142857142855,0.14285714285714285,0.0
103,Adem Ljajic,Midfielder,FIOR,Italian Serie A,25,Serbia,79,Europe,False,0.75,0.6428571428571429,28.0,4.392857142857143,0.39285714285714285,0.25,0.0
104,Kevin Trapp,Goalkeeper,PSG,French Ligue 1,26,Germany,81,Europe,False,1.0,0.03389830508474576,59.0,4.389830508474576,0.0,0.0,0.559322033898305
105,Valere Germain,Forward,NICE,French Ligue 1,27,France,80,Europe,True,0.9487179487179487,0.5128205128205128,39.0,4.384615384615385,0.41025641025641024,0.15384615384615385,0.0
106,Wissam Ben Yedder,Forward,TOUL,Spanish Primera Division,26,France,81,Europe,False,0.9230769230769231,0.3916083916083916,143.0,4.3776223776223775,0.42657342657342656,0.13986013986013987,0.0
107,Daniel Sturridge,Forward,LPOOL,English Premier League,27,England,82,Europe,True,0.68,0.36,75.0,4.373333333333333,0.48,0.12,0.0
108,Prejuce Nakoulma,Forward,NAAT,French Ligue 1,30,Burkina Faso,75,Africa,False,0.9090909090909091,0.45454545454545453,11.0,4.363636363636363,0.5454545454545454,0.0,0.0
109,Mario Gomez,Forward,VFL,German Bundesliga,31,Germany,82,Europe,True,0.9696969696969697,0.15151515151515152,33.0,4.363636363636363,0.48484848484848486,0.030303030303030304,0.0
110,Kamil Glik,Defender,ASMO,French Ligue 1,29,Poland,85,Europe,False,1.0,0.0,36.0,4.361111111111111,0.16666666666666666,0.05555555555555555,0.4444444444444444
111,Lucas,Forward,RCDC,French Ligue 1,24,Brazil,82,South America,False,0.9649122807017544,0.2631578947368421,57.0,4.333333333333333,0.40350877192982454,0.17543859649122806,0.0
112,Pierluigi Gollini,Goalkeeper,ATAL,Italian Serie A,22,Italy,70,Europe,True,1.0,0.0,3.0,4.333333333333333,0.0,0.0,0.6666666666666666
113,Andre Pierre Gignac,Forward,OLMA,Mexican Liga MX,31,France,81,Europe,False,0.9038461538461539,0.25,104.0,4.298076923076923,0.4807692307692308,0.038461538461538464,0.0
114,Christian Benteke,Forward,AVILLA,English Premier League,26,Belgium,80,Europe,False,0.9213483146067416,0.11235955056179775,89.0,4.292134831460674,0.47191011235955055,0.07865168539325842,0.0
115,Mario Mandzukic,Forward,,Italian Serie A,31,Croatia,83,Europe,False,0.8571428571428571,0.5357142857142857,28.0,4.285714285714286,0.42857142857142855,0.21428571428571427,0.0
116,Layvin Kurzawa,Defender,PSG,French Ligue 1,24,France,80,Europe,True,1.0,0.1111111111111111,18.0,4.277777777777778,0.1111111111111111,0.1111111111111111,0.4444444444444444
117,Jamie Vardy,Forward,LEICSC,English Premier League,30,England,81,Europe,True,0.9047619047619048,0.26666666666666666,105.0,4.276190476190476,0.4,0.18095238095238095,0.0
118,Thomas Meunier,Defender,PSG,French Ligue 1,25,Belgium,81,Europe,False,0.8181818181818182,0.09090909090909091,22.0,4.2727272727272725,0.045454545454545456,0.18181818181818182,0.5
119,Alex Sandro,Defender,JUVE,Italian Serie A,26,Brazil,86,South America,False,0.8163265306122449,0.0,49.0,4.26530612244898,0.10204081632653061,0.14285714285714285,0.42857142857142855
120,Max Kruse,Midfielder,SCF,German Bundesliga,29,Germany,82,Europe,True,0.9705882352941176,0.20588235294117646,34.0,4.264705882352941,0.3235294117647059,0.23529411764705882,0.0
121,Iago Aspas,Forward,RCCV,Spanish Primera Division,29,Spain,83,Europe,True,0.8910891089108911,0.39603960396039606,101.0,4.237623762376238,0.43564356435643564,0.13861386138613863,0.0
122,Jan Oblak,Goalkeeper,,Spanish Primera Division,24,Slovenia,88,Europe,False,1.0,0.012658227848101266,79.0,4.215189873417722,0.0,0.0,0.5822784810126582
123,Benjamin Moukandjo,Forward,LORI,Rest Of The World,28,Cameroon,77,Africa,False,0.8928571428571429,0.3392857142857143,56.0,4.214285714285714,0.4642857142857143,0.017857142857142856,0.0
124,Kevin De Bruyne,Midfielder,WB1,English Premier League,26,Belgium,89,Europe,False,1.0,0.030303030303030304,33.0,4.212121212121212,0.30303030303030304,0.2727272727272727,0.0
125,Romelu Lukaku,Forward,WBFC,English Premier League,24,Belgium,86,Europe,False,0.5714285714285714,0.37142857142857144,35.0,4.2,0.4857142857142857,0.11428571428571428,0.0
126,Wayne Rooney,Forward,MUFC,English Premier League,31,England,81,Europe,True,0.8732394366197183,0.2112676056338028,142.0,4.197183098591549,0.38028169014084506,0.23943661971830985,0.0
127,Filipe Luis,Defender,,Spanish Primera Division,31,Brazil,85,South America,False,1.0,0.046153846153846156,130.0,4.1923076923076925,0.038461538461538464,0.1076923076923077,0.5230769230769231
128,Mario Gomez,Forward,BM1,German Bundesliga,31,Germany,82,Europe,True,0.42857142857142855,0.2857142857142857,21.0,4.190476190476191,0.5238095238095238,0.047619047619047616,0.0
129,Lukas Podolski,Forward,ARSL,Japanese J1 League,32,Germany,80,Europe,False,0.7358490566037735,0.6037735849056604,53.0,4.188679245283019,0.3584905660377358,0.22641509433962265,0.0
130,Neto,Goalkeeper,JUVE,Spanish Primera Division,27,Brazil,80,South America,False,0.9090909090909091,0.0,11.0,4.181818181818182,0.0,0.0,0.5454545454545454
131,Stoppila Sunzu,Defender,SOCH,Russian Premier League,28,Zambia,71,Africa,False,1.0,0.0,17.0,4.176470588235294,0.23529411764705882,0.0,0.4117647058823529
132,Andre Schurrle,Forward,BL1,German Bundesliga,26,Germany,80,Europe,True,1.0,0.5588235294117647,34.0,4.176470588235294,0.3235294117647059,0.20588235294117646,0.0
133,Manuel Neuer,Goalkeeper,BM1,German Bundesliga,31,Germany,92,Europe,True,0.9935064935064936,0.012987012987012988,154.0,4.175324675324675,0.0,0.0,0.564935064935065
134,Kevin De Bruyne,Midfielder,MCFC,English Premier League,26,Belgium,89,Europe,False,0.9047619047619048,0.25396825396825395,63.0,4.174603174603175,0.20634920634920634,0.4603174603174603,0.0
135,Juan Mata,Midfielder,CHEL,English Premier League,29,Spain,84,Europe,False,0.8888888888888888,0.5238095238095238,63.0,4.174603174603175,0.2857142857142857,0.30158730158730157,0.0
136,Shinji Okazaki,Forward,,English Premier League,31,Japan,77,Asia,False,0.9538461538461539,0.2,65.0,4.1692307692307695,0.4307692307692308,0.046153846153846156,0.0
137,Ludovic Butelle,Goalkeeper,,Belgian First Division A,34,France,74,Europe,False,1.0,0.0,19.0,4.157894736842105,0.0,0.0,0.5789473684210527
138,Pape Souare,Defender,LILL,English Premier League,27,Senegal,73,Africa,False,1.0,0.15151515151515152,33.0,4.151515151515151,0.09090909090909091,0.030303030303030304,0.48484848484848486
139,Samuel Eto'o,Forward,CHEL,Turkish Super Lig,36,Cameroon,81,Africa,False,0.7619047619047619,0.5714285714285714,21.0,4.142857142857143,0.42857142857142855,0.09523809523809523,0.0
140,Nolito,Forward,RCCV,Spanish Primera Division,30,Spain,79,Europe,True,0.83,0.2,100.0,4.14,0.39,0.22,0.0
141,Diego Godin,Defender,,Spanish Primera Division,31,Uruguay,88,South America,False,0.9939393939393939,0.01818181818181818,165.0,4.13939393939394,0.07272727272727272,0.024242424242424242,0.5515151515151515
142,Carlos Bacca,Forward,MILA,Spanish Primera Division,30,Colombia,82,South America,False,0.8840579710144928,0.4782608695652174,69.0,4.130434782608695,0.4492753623188406,0.043478260869565216,0.0
143,Giorgio Chiellini,Defender,JUVE,Italian Serie A,32,Italy,89,Europe,True,0.953125,0.0859375,128.0,4.125,0.0546875,0.0546875,0.4921875
144,Serge Aurier,Defender,PSG,English Premier League,24,Ivory Coast,81,Africa,False,0.9473684210526315,0.05263157894736842,57.0,4.12280701754386,0.03508771929824561,0.17543859649122806,0.47368421052631576
145,Mesut Ozil,Midfielder,MADR,English Premier League,28,Germany,88,Europe,False,0.7272727272727273,0.3939393939393939,33.0,4.121212121212121,0.2727272727272727,0.3939393939393939,0.0
146,Eden Hazard,Midfielder,CHEL,English Premier League,26,Belgium,90,Europe,False,0.9310344827586207,0.40804597701149425,174.0,4.120689655172414,0.3275862068965517,0.21264367816091953,0.0
147,Presnel Kimpembe,Defender,PSG,French Ligue 1,21,France,77,Europe,True,0.9230769230769231,0.038461538461538464,26.0,4.115384615384615,0.0,0.0,0.6538461538461539
148,Bafetimbi Gomis,Forward,OLLY,Turkish Super Lig,31,France,79,Europe,False,0.8285714285714286,0.4,70.0,4.1,0.42857142857142855,0.07142857142857142,0.0
149,Claudio Bravo,Goalkeeper,BARC,English Premier League,34,Chile,82,South America,False,1.0,0.014285714285714285,70.0,4.1,0.0,0.0,0.5428571428571428
150,Joel Pohjanpalo,Forward,BL1,German Bundesliga,22,Finland,72,Europe,False,0.1,0.1,10.0,4.1,0.6,0.0,0.0
151,Iago Falque,Defender,,Italian Serie A,27,Spain,80,Europe,False,0.9032258064516129,0.5161290322580645,31.0,4.096774193548387,0.41935483870967744,0.12903225806451613,0.06451612903225806
